# Step	Measurement
1	1.077782e+02
2	1.075725e+02
3	1.073903e+02
4	1.072912e+02
5	1.072454e+02
6	1.072029e+02
7	1.072212e+02
8	1.073467e+02
9	1.075086e+02
10	1.077998e+02
11	1.082428e+02
12	1.087655e+02
13	1.093521e+02
14	1.099791e+02
15	1.106165e+02
16	1.111898e+02
17	1.115513e+02
18	1.118929e+02
19	1.120588e+02
20	1.122131e+02
21	1.123276e+02
22	1.122851e+02
23	1.122242e+02
24	1.120644e+02
25	1.117193e+02
26	1.113183e+02
27	1.108125e+02
28	1.103377e+02
29	1.098338e+02
30	1.093184e+02
31	1.088481e+02
32	1.083705e+02
33	1.079910e+02
34	1.075810e+02
35	1.072748e+02
36	1.070016e+02
37	1.067781e+02
38	1.065998e+02
39	1.065123e+02
40	1.066063e+02
41	1.066432e+02
42	1.066969e+02
43	1.068454e+02
44	1.070219e+02
45	1.072528e+02
46	1.076078e+02
47	1.079152e+02
48	1.083274e+02
49	1.087673e+02
50	1.092035e+02
51	1.095218e+02
52	1.097910e+02
53	1.100666e+02
54	1.102012e+02
55	1.102987e+02
56	1.103534e+02
57	1.105306e+02
58	1.107387e+02
59	1.108196e+02
60	1.108784e+02
61	1.107974e+02
62	1.107052e+02
63	1.106125e+02
64	1.104520e+02
65	1.102556e+02
66	1.099991e+02
67	1.096033e+02
68	1.092385e+02
69	1.088827e+02
70	1.085290e+02
71	1.081539e+02
72	1.076942e+02
73	1.073083e+02
74	1.069010e+02
75	1.065204e+02
76	1.061370e+02
77	1.057630e+02
78	1.053605e+02
79	1.050153e+02
80	1.048310e+02
81	1.045866e+02
82	1.045347e+02
83	1.044772e+02
84	1.043895e+02
85	1.044665e+02
86	1.044850e+02
87	1.046093e+02
88	1.047256e+02
89	1.047257e+02
90	1.048285e+02
91	1.048890e+02
92	1.049827e+02
93	1.051821e+02
94	1.054509e+02
95	1.056790e+02
96	1.059352e+02
97	1.062062e+02
98	1.064701e+02
99	1.067475e+02
100	1.070251e+02
101	1.071657e+02
102	1.074055e+02
103	1.076335e+02
104	1.077426e+02
105	1.078801e+02
106	1.080647e+02
107	1.082154e+02
108	1.084364e+02
109	1.086523e+02
110	1.088287e+02
111	1.091160e+02
112	1.093682e+02
113	1.096139e+02
114	1.098570e+02
115	1.100927e+02
116	1.103364e+02
117	1.106064e+02
118	1.109452e+02
119	1.113417e+02
120	1.116272e+02
121	1.118567e+02
122	1.120719e+02
123	1.122139e+02
124	1.122591e+02
125	1.125228e+02
126	1.127377e+02
127	1.128828e+02
128	1.130348e+02
129	1.131995e+02
130	1.133334e+02
131	1.133885e+02
132	1.134278e+02
133	1.133649e+02
134	1.132500e+02
135	1.130688e+02
136	1.128317e+02
137	1.125329e+02
138	1.121306e+02
139	1.117674e+02
140	1.113720e+02
141	1.109471e+02
142	1.104186e+02
143	1.097926e+02
144	1.091578e+02
145	1.084464e+02
146	1.077461e+02
147	1.069034e+02
148	1.062042e+02
149	1.055030e+02
150	1.048916e+02
151	1.043982e+02
152	1.039519e+02
153	1.036447e+02
154	1.034319e+02
155	1.033666e+02
156	1.034688e+02
157	1.037151e+02
158	1.040278e+02
159	1.043766e+02
160	1.046630e+02
161	1.049476e+02
162	1.053048e+02
163	1.057305e+02
164	1.062766e+02
165	1.067812e+02
166	1.073481e+02
167	1.078366e+02
168	1.082986e+02
169	1.087603e+02
170	1.092988e+02
171	1.098447e+02
172	1.103571e+02
173	1.107859e+02
174	1.111415e+02
175	1.114470e+02
176	1.116835e+02
177	1.118823e+02
178	1.119558e+02
179	1.120767e+02
180	1.122361e+02
181	1.123514e+02
182	1.123889e+02
183	1.122520e+02
184	1.121900e+02
185	1.121380e+02
186	1.120995e+02
187	1.120413e+02
188	1.119221e+02
189	1.118700e+02
190	1.116576e+02
191	1.113164e+02
192	1.108797e+02
193	1.104245e+02
194	1.098716e+02
195	1.093408e+02
196	1.087648e+02
197	1.082680e+02
198	1.077983e+02
199	1.073240e+02
200	1.068745e+02
201	1.064311e+02
202	1.060899e+02
203	1.057516e+02
204	1.055337e+02
205	1.054112e+02
206	1.054718e+02
207	1.057118e+02
208	1.061044e+02
209	1.066380e+02
210	1.071508e+02
211	1.076117e+02
212	1.080853e+02
213	1.084815e+02
214	1.089623e+02
215	1.093867e+02
216	1.097046e+02
217	1.100444e+02
218	1.103619e+02
219	1.106365e+02
220	1.109522e+02
221	1.111857e+02
222	1.112777e+02
223	1.113154e+02
224	1.112849e+02
225	1.112979e+02
226	1.113491e+02
227	1.114937e+02
228	1.115307e+02
229	1.114664e+02
230	1.112980e+02
231	1.110836e+02
232	1.107346e+02
233	1.103779e+02
234	1.099001e+02
235	1.094298e+02
236	1.089439e+02
237	1.085022e+02
238	1.079923e+02
239	1.075280e+02
240	1.070756e+02
241	1.065554e+02
242	1.059693e+02
243	1.054710e+02
244	1.050730e+02
245	1.046995e+02
246	1.044905e+02
247	1.043395e+02
248	1.042717e+02
249	1.042184e+02
250	1.041471e+02
251	1.040552e+02
252	1.040349e+02
253	1.041077e+02
254	1.042159e+02
255	1.043281e+02
256	1.044069e+02
257	1.046851e+02
258	1.050610e+02
259	1.055410e+02
260	1.060769e+02
261	1.066433e+02
262	1.071391e+02
263	1.076634e+02
264	1.083093e+02
265	1.088455e+02
266	1.093963e+02
267	1.099383e+02
268	1.103570e+02
269	1.108739e+02
270	1.112800e+02
271	1.116143e+02
272	1.118393e+02
273	1.119700e+02
274	1.120155e+02
275	1.119353e+02
276	1.117152e+02
277	1.114112e+02
278	1.110810e+02
279	1.107254e+02
280	1.104198e+02
281	1.099701e+02
282	1.095506e+02
283	1.092302e+02
284	1.090985e+02
285	1.089276e+02
286	1.087447e+02
287	1.086421e+02
288	1.085192e+02
289	1.084550e+02
290	1.083847e+02
291	1.083584e+02
292	1.083028e+02
293	1.082212e+02
294	1.080918e+02
295	1.080179e+02
296	1.078477e+02
297	1.077420e+02
298	1.076625e+02
299	1.075364e+02
300	1.073901e+02
301	1.071771e+02
