# Step	Measurement
1	1.095854e+00
2	1.099765e+00
3	1.104360e+00
4	1.109311e+00
5	1.112448e+00
6	1.113904e+00
7	1.113261e+00
8	1.111794e+00
9	1.110104e+00
10	1.106578e+00
11	1.100376e+00
12	1.093847e+00
13	1.087196e+00
14	1.081659e+00
15	1.076214e+00
16	1.071370e+00
17	1.070131e+00
18	1.070340e+00
19	1.073544e+00
20	1.078181e+00
21	1.084487e+00
22	1.092799e+00
23	1.102949e+00
24	1.113712e+00
25	1.122628e+00
26	1.129943e+00
27	1.137160e+00
28	1.141946e+00
29	1.143980e+00
30	1.144865e+00
31	1.143420e+00
32	1.137937e+00
33	1.130747e+00
34	1.120383e+00
35	1.108451e+00
36	1.097303e+00
37	1.086012e+00
38	1.075631e+00
39	1.066383e+00
40	1.059884e+00
41	1.057336e+00
42	1.058633e+00
43	1.062712e+00
44	1.068666e+00
45	1.076971e+00
46	1.087368e+00
47	1.098438e+00
48	1.109545e+00
49	1.118582e+00
50	1.126328e+00
51	1.131411e+00
52	1.133100e+00
53	1.131162e+00
54	1.124419e+00
55	1.114570e+00
56	1.102030e+00
57	1.088180e+00
58	1.075181e+00
59	1.063458e+00
60	1.054389e+00
61	1.049101e+00
62	1.045128e+00
63	1.044599e+00
64	1.047753e+00
65	1.054894e+00
66	1.065168e+00
67	1.078077e+00
68	1.091864e+00
69	1.106273e+00
70	1.119734e+00
71	1.130305e+00
72	1.137839e+00
73	1.142544e+00
74	1.143114e+00
75	1.138652e+00
76	1.129765e+00
77	1.118797e+00
78	1.107542e+00
79	1.095599e+00
80	1.083183e+00
81	1.069497e+00
82	1.056879e+00
83	1.047679e+00
84	1.041508e+00
85	1.039208e+00
86	1.043018e+00
87	1.052075e+00
88	1.066475e+00
89	1.082958e+00
90	1.099025e+00
91	1.114499e+00
92	1.128553e+00
93	1.141747e+00
94	1.152566e+00
95	1.158794e+00
96	1.162206e+00
97	1.161975e+00
98	1.158618e+00
99	1.151777e+00
100	1.141483e+00
101	1.127271e+00
102	1.111466e+00
103	1.094908e+00
104	1.079601e+00
105	1.067446e+00
106	1.059537e+00
107	1.055660e+00
108	1.054579e+00
109	1.057670e+00
110	1.063814e+00
111	1.074373e+00
112	1.088512e+00
113	1.104193e+00
114	1.119081e+00
115	1.131192e+00
116	1.140509e+00
117	1.148359e+00
118	1.151987e+00
119	1.150533e+00
120	1.146324e+00
121	1.138185e+00
122	1.129196e+00
123	1.118155e+00
124	1.106611e+00
125	1.095838e+00
126	1.085809e+00
127	1.079350e+00
128	1.073860e+00
129	1.070015e+00
130	1.069761e+00
131	1.072788e+00
132	1.079389e+00
133	1.087913e+00
134	1.096933e+00
135	1.104954e+00
136	1.113234e+00
137	1.120104e+00
138	1.125955e+00
139	1.130762e+00
140	1.133555e+00
141	1.133630e+00
142	1.131078e+00
143	1.124257e+00
144	1.115299e+00
145	1.104942e+00
146	1.094189e+00
147	1.084288e+00
148	1.074929e+00
149	1.068401e+00
150	1.064203e+00
151	1.062260e+00
152	1.062716e+00
153	1.065207e+00
154	1.069176e+00
155	1.075178e+00
156	1.083402e+00
157	1.093121e+00
158	1.103519e+00
159	1.112439e+00
160	1.121084e+00
161	1.128201e+00
162	1.134672e+00
163	1.137095e+00
164	1.135909e+00
165	1.131883e+00
166	1.123586e+00
167	1.113991e+00
168	1.104099e+00
169	1.092650e+00
170	1.080327e+00
171	1.069028e+00
172	1.061002e+00
173	1.055426e+00
174	1.053513e+00
175	1.054578e+00
176	1.058694e+00
177	1.066663e+00
178	1.075970e+00
179	1.086249e+00
180	1.095874e+00
181	1.105551e+00
182	1.113669e+00
183	1.119683e+00
184	1.122996e+00
185	1.124062e+00
186	1.121516e+00
187	1.119707e+00
188	1.117039e+00
189	1.112449e+00
190	1.106797e+00
191	1.099828e+00
192	1.091135e+00
193	1.082474e+00
194	1.075281e+00
195	1.067973e+00
196	1.063236e+00
197	1.060890e+00
198	1.063505e+00
199	1.067574e+00
200	1.074218e+00
201	1.083074e+00
202	1.092718e+00
203	1.103781e+00
204	1.114579e+00
205	1.125204e+00
206	1.134118e+00
207	1.137967e+00
208	1.138499e+00
209	1.136037e+00
210	1.130011e+00
211	1.121983e+00
212	1.111406e+00
213	1.099468e+00
214	1.087735e+00
215	1.076877e+00
216	1.067576e+00
217	1.060966e+00
218	1.056907e+00
219	1.057198e+00
220	1.060697e+00
221	1.066664e+00
222	1.075109e+00
223	1.085119e+00
224	1.096597e+00
225	1.107488e+00
226	1.114716e+00
227	1.119119e+00
228	1.121278e+00
229	1.122279e+00
230	1.120784e+00
231	1.117152e+00
232	1.111015e+00
233	1.103262e+00
234	1.095112e+00
235	1.087163e+00
236	1.080186e+00
237	1.075525e+00
238	1.073576e+00
239	1.072787e+00
240	1.072453e+00
241	1.073506e+00
242	1.076305e+00
243	1.080321e+00
244	1.085586e+00
245	1.091088e+00
246	1.097149e+00
247	1.102315e+00
248	1.105378e+00
249	1.108680e+00
250	1.111203e+00
251	1.113395e+00
252	1.114682e+00
253	1.114569e+00
254	1.112528e+00
255	1.109531e+00
256	1.104601e+00
257	1.100912e+00
258	1.097266e+00
259	1.094052e+00
260	1.091039e+00
261	1.088469e+00
262	1.088303e+00
263	1.087578e+00
264	1.086182e+00
265	1.086043e+00
266	1.087694e+00
267	1.091149e+00
268	1.097061e+00
269	1.103654e+00
270	1.109684e+00
271	1.113620e+00
272	1.116823e+00
273	1.119463e+00
274	1.118952e+00
275	1.117388e+00
276	1.113132e+00
277	1.107394e+00
278	1.101128e+00
279	1.093030e+00
280	1.085086e+00
281	1.077562e+00
282	1.071729e+00
283	1.068651e+00
284	1.068345e+00
285	1.071612e+00
286	1.075067e+00
287	1.079945e+00
288	1.086213e+00
289	1.092755e+00
290	1.100247e+00
291	1.108988e+00
292	1.117715e+00
293	1.124942e+00
294	1.130411e+00
295	1.133806e+00
296	1.135485e+00
297	1.131916e+00
298	1.125199e+00
299	1.114765e+00
300	1.103143e+00
301	1.091888e+00
302	1.080495e+00
303	1.071489e+00
304	1.063830e+00
305	1.059625e+00
306	1.058343e+00
307	1.059732e+00
308	1.063258e+00
309	1.068658e+00
310	1.076518e+00
311	1.087492e+00
312	1.098126e+00
313	1.108826e+00
314	1.117967e+00
315	1.124375e+00
316	1.128679e+00
317	1.129400e+00
318	1.128898e+00
319	1.125372e+00
320	1.120146e+00
321	1.113629e+00
322	1.106963e+00
323	1.099843e+00
324	1.093224e+00
325	1.086642e+00
326	1.078903e+00
327	1.072798e+00
328	1.068944e+00
329	1.067062e+00
330	1.066895e+00
331	1.070116e+00
332	1.075190e+00
333	1.080593e+00
334	1.086915e+00
335	1.093311e+00
336	1.098669e+00
337	1.102147e+00
338	1.104561e+00
339	1.105140e+00
340	1.104646e+00
341	1.101494e+00
342	1.098829e+00
343	1.096215e+00
344	1.091521e+00
345	1.086980e+00
346	1.082958e+00
347	1.079984e+00
348	1.079805e+00
349	1.081475e+00
350	1.083169e+00
351	1.084480e+00
352	1.087064e+00
353	1.089895e+00
354	1.092143e+00
355	1.095209e+00
356	1.098309e+00
357	1.102647e+00
358	1.107260e+00
359	1.110228e+00
360	1.112472e+00
361	1.114858e+00
362	1.114935e+00
363	1.111728e+00
364	1.106572e+00
365	1.100560e+00
366	1.093944e+00
367	1.086989e+00
368	1.080571e+00
369	1.074834e+00
370	1.071895e+00
371	1.070302e+00
372	1.072313e+00
373	1.075682e+00
374	1.080103e+00
375	1.086206e+00
376	1.094905e+00
377	1.103658e+00
378	1.111421e+00
379	1.118399e+00
380	1.122355e+00
381	1.125403e+00
382	1.124894e+00
383	1.123469e+00
384	1.120823e+00
385	1.116689e+00
386	1.110691e+00
387	1.105241e+00
388	1.098679e+00
389	1.093206e+00
390	1.088263e+00
391	1.083422e+00
392	1.079372e+00
393	1.078217e+00
394	1.078554e+00
395	1.080710e+00
396	1.085519e+00
397	1.090965e+00
398	1.097244e+00
399	1.103633e+00
400	1.110440e+00
401	1.116400e+00
402	1.121236e+00
403	1.125217e+00
404	1.125627e+00
405	1.124472e+00
406	1.120177e+00
407	1.114684e+00
408	1.106723e+00
409	1.097532e+00
410	1.088423e+00
411	1.079107e+00
412	1.071317e+00
413	1.064742e+00
414	1.062597e+00
415	1.062401e+00
416	1.063311e+00
417	1.066753e+00
418	1.072632e+00
419	1.078702e+00
420	1.086296e+00
421	1.095458e+00
422	1.103322e+00
423	1.109634e+00
424	1.112956e+00
425	1.112842e+00
426	1.110552e+00
427	1.108170e+00
428	1.103762e+00
429	1.098970e+00
430	1.093400e+00
431	1.088577e+00
432	1.084852e+00
433	1.081414e+00
434	1.078929e+00
435	1.079361e+00
436	1.079726e+00
437	1.080990e+00
438	1.082161e+00
439	1.084899e+00
440	1.088143e+00
441	1.091904e+00
442	1.095463e+00
443	1.099944e+00
444	1.104259e+00
445	1.107064e+00
446	1.109301e+00
447	1.111298e+00
448	1.112758e+00
449	1.112709e+00
450	1.111262e+00
451	1.108527e+00
452	1.104515e+00
453	1.097439e+00
454	1.089751e+00
455	1.082525e+00
456	1.076070e+00
457	1.069847e+00
458	1.065812e+00
459	1.063941e+00
460	1.064186e+00
461	1.067387e+00
462	1.071006e+00
463	1.075004e+00
464	1.081757e+00
465	1.088757e+00
466	1.096522e+00
467	1.102798e+00
468	1.107092e+00
469	1.111005e+00
470	1.112385e+00
471	1.112202e+00
472	1.109990e+00
473	1.106930e+00
474	1.102742e+00
475	1.097660e+00
476	1.092869e+00
477	1.086151e+00
478	1.080367e+00
479	1.076588e+00
480	1.074111e+00
481	1.072371e+00
482	1.072973e+00
483	1.075851e+00
484	1.081459e+00
485	1.088168e+00
486	1.096364e+00
487	1.105399e+00
488	1.114163e+00
489	1.121222e+00
490	1.128701e+00
491	1.134544e+00
492	1.137235e+00
493	1.136998e+00
494	1.134385e+00
