# Step	Measurement
1	1.124558e+02
2	1.123275e+02
3	1.122413e+02
4	1.122039e+02
5	1.122019e+02
6	1.122081e+02
7	1.121914e+02
8	1.121663e+02
9	1.121846e+02
10	1.122278e+02
11	1.123662e+02
12	1.125088e+02
13	1.127370e+02
14	1.129922e+02
15	1.133352e+02
16	1.136794e+02
17	1.140181e+02
18	1.143335e+02
19	1.146733e+02
20	1.150198e+02
21	1.153344e+02
22	1.157386e+02
23	1.161833e+02
24	1.165136e+02
25	1.168162e+02
26	1.171694e+02
27	1.174885e+02
28	1.178103e+02
29	1.180196e+02
30	1.181378e+02
31	1.182532e+02
32	1.182135e+02
33	1.180980e+02
34	1.179372e+02
35	1.177282e+02
36	1.174606e+02
37	1.171237e+02
38	1.167642e+02
39	1.163609e+02
40	1.159005e+02
41	1.153352e+02
42	1.148361e+02
43	1.142833e+02
44	1.137637e+02
45	1.131358e+02
46	1.124947e+02
47	1.118502e+02
48	1.112343e+02
49	1.105950e+02
50	1.100209e+02
51	1.095257e+02
52	1.090500e+02
53	1.085939e+02
54	1.082546e+02
55	1.080215e+02
56	1.078232e+02
57	1.076478e+02
58	1.074731e+02
59	1.073566e+02
60	1.072819e+02
61	1.072290e+02
62	1.071921e+02
63	1.072055e+02
64	1.072832e+02
65	1.074755e+02
66	1.077890e+02
67	1.081714e+02
68	1.086428e+02
69	1.091363e+02
70	1.096987e+02
71	1.103740e+02
72	1.110995e+02
73	1.117868e+02
74	1.125319e+02
75	1.133213e+02
76	1.140368e+02
77	1.147513e+02
78	1.154359e+02
79	1.160400e+02
80	1.166492e+02
81	1.172111e+02
82	1.177686e+02
83	1.182699e+02
84	1.187618e+02
85	1.192081e+02
86	1.196171e+02
87	1.200252e+02
88	1.204771e+02
89	1.208748e+02
90	1.212581e+02
91	1.216209e+02
92	1.219175e+02
93	1.220791e+02
94	1.221981e+02
95	1.222527e+02
96	1.221828e+02
97	1.219429e+02
98	1.215869e+02
99	1.212114e+02
100	1.207484e+02
101	1.201422e+02
102	1.194066e+02
103	1.186235e+02
104	1.177382e+02
105	1.167501e+02
106	1.155701e+02
107	1.143601e+02
108	1.131840e+02
