# Step	Measurement
1	1.841895e+00
2	1.839362e+00
3	1.836803e+00
4	1.834089e+00
5	1.831617e+00
6	1.829319e+00
7	1.826792e+00
8	1.824228e+00
9	1.821665e+00
10	1.819201e+00
11	1.816661e+00
12	1.814078e+00
13	1.811640e+00
14	1.809659e+00
15	1.808442e+00
16	1.807645e+00
17	1.806836e+00
18	1.806244e+00
19	1.806251e+00
20	1.806555e+00
21	1.807512e+00
22	1.808711e+00
23	1.810449e+00
24	1.812348e+00
25	1.814422e+00
26	1.816702e+00
27	1.818888e+00
28	1.821138e+00
29	1.823042e+00
30	1.824977e+00
31	1.827057e+00
32	1.829052e+00
33	1.830977e+00
34	1.833031e+00
35	1.835193e+00
36	1.837372e+00
37	1.839683e+00
38	1.842288e+00
39	1.844831e+00
40	1.847175e+00
41	1.849487e+00
42	1.851984e+00
43	1.854766e+00
44	1.857271e+00
45	1.859938e+00
46	1.862511e+00
47	1.864866e+00
48	1.867346e+00
49	1.869771e+00
50	1.871902e+00
51	1.873632e+00
52	1.875298e+00
53	1.876554e+00
54	1.877575e+00
55	1.878243e+00
56	1.878520e+00
57	1.878594e+00
58	1.878212e+00
59	1.877648e+00
60	1.876906e+00
61	1.875905e+00
62	1.874768e+00
63	1.873179e+00
64	1.871403e+00
65	1.869093e+00
66	1.866652e+00
67	1.863964e+00
68	1.860768e+00
69	1.857555e+00
70	1.854077e+00
71	1.850514e+00
72	1.847061e+00
73	1.843382e+00
74	1.839589e+00
75	1.835643e+00
76	1.831915e+00
77	1.828406e+00
78	1.824785e+00
79	1.821480e+00
80	1.817989e+00
81	1.814280e+00
82	1.810664e+00
83	1.807138e+00
84	1.803526e+00
85	1.800077e+00
86	1.796601e+00
87	1.793441e+00
88	1.790406e+00
89	1.787563e+00
90	1.785193e+00
91	1.783358e+00
92	1.782097e+00
93	1.780767e+00
94	1.779796e+00
95	1.779265e+00
96	1.779080e+00
97	1.779010e+00
98	1.779628e+00
99	1.780455e+00
100	1.781374e+00
101	1.782082e+00
102	1.782755e+00
103	1.783369e+00
104	1.784170e+00
105	1.785123e+00
106	1.786359e+00
107	1.787961e+00
108	1.790168e+00
109	1.792429e+00
110	1.795029e+00
111	1.797619e+00
112	1.800756e+00
113	1.804190e+00
114	1.807451e+00
115	1.810343e+00
116	1.813211e+00
117	1.815991e+00
118	1.818704e+00
119	1.821261e+00
120	1.823945e+00
121	1.826824e+00
122	1.830157e+00
123	1.833146e+00
124	1.835874e+00
125	1.838748e+00
126	1.841494e+00
127	1.844162e+00
128	1.846731e+00
129	1.849348e+00
130	1.851566e+00
131	1.853622e+00
132	1.855851e+00
133	1.858216e+00
134	1.860996e+00
135	1.863934e+00
136	1.866860e+00
137	1.869841e+00
138	1.873021e+00
139	1.876314e+00
140	1.879315e+00
141	1.882334e+00
142	1.885234e+00
143	1.887699e+00
144	1.890178e+00
145	1.892603e+00
146	1.894743e+00
147	1.896298e+00
148	1.897337e+00
149	1.898271e+00
150	1.898885e+00
151	1.899365e+00
152	1.899302e+00
153	1.898912e+00
154	1.898289e+00
155	1.897688e+00
156	1.897062e+00
157	1.896142e+00
158	1.894887e+00
159	1.893571e+00
160	1.892045e+00
161	1.890065e+00
162	1.888262e+00
163	1.886001e+00
164	1.883188e+00
165	1.880157e+00
166	1.877361e+00
167	1.874132e+00
168	1.870581e+00
169	1.866586e+00
170	1.863208e+00
171	1.859728e+00
172	1.856219e+00
173	1.852758e+00
174	1.849608e+00
175	1.846415e+00
176	1.843437e+00
177	1.840368e+00
178	1.837438e+00
179	1.834814e+00
180	1.832861e+00
181	1.831555e+00
182	1.830245e+00
183	1.829201e+00
184	1.828155e+00
