# Step	Measurement
1	1.075775e+02
2	1.075744e+02
3	1.075495e+02
4	1.074110e+02
5	1.072121e+02
6	1.069798e+02
7	1.068068e+02
8	1.066700e+02
9	1.065052e+02
10	1.062873e+02
11	1.059902e+02
12	1.056466e+02
13	1.054201e+02
14	1.051928e+02
15	1.048536e+02
16	1.045574e+02
17	1.042767e+02
18	1.039835e+02
19	1.037204e+02
20	1.035439e+02
21	1.035030e+02
22	1.034626e+02
23	1.034425e+02
24	1.034636e+02
25	1.035182e+02
26	1.036048e+02
27	1.037553e+02
28	1.038433e+02
29	1.039203e+02
30	1.040081e+02
31	1.041433e+02
32	1.043145e+02
33	1.044936e+02
34	1.046717e+02
35	1.047813e+02
36	1.048458e+02
37	1.049658e+02
38	1.049060e+02
39	1.047198e+02
40	1.045253e+02
41	1.044374e+02
42	1.043679e+02
43	1.042926e+02
44	1.043062e+02
45	1.043588e+02
46	1.044822e+02
47	1.046803e+02
48	1.049216e+02
49	1.052684e+02
50	1.056802e+02
51	1.061347e+02
52	1.066244e+02
53	1.070016e+02
54	1.074100e+02
55	1.078053e+02
56	1.082019e+02
57	1.085331e+02
58	1.087866e+02
59	1.090443e+02
60	1.092008e+02
61	1.092936e+02
62	1.093508e+02
63	1.094261e+02
64	1.095757e+02
65	1.096760e+02
66	1.097892e+02
67	1.098582e+02
68	1.098326e+02
69	1.096739e+02
70	1.095291e+02
71	1.093696e+02
72	1.091208e+02
73	1.089083e+02
74	1.087254e+02
75	1.085004e+02
76	1.082919e+02
77	1.079643e+02
78	1.075717e+02
79	1.071309e+02
80	1.065740e+02
81	1.060200e+02
82	1.053021e+02
83	1.045824e+02
84	1.038776e+02
85	1.031616e+02
86	1.025024e+02
87	1.019900e+02
88	1.014490e+02
89	1.008956e+02
90	1.002930e+02
91	9.984210e+01
92	9.945619e+01
93	9.902633e+01
94	9.859740e+01
95	9.814634e+01
96	9.771605e+01
97	9.737352e+01
98	9.709738e+01
99	9.692728e+01
100	9.688953e+01
101	9.706430e+01
102	9.728276e+01
103	9.763847e+01
104	9.817566e+01
105	9.881920e+01
106	9.961296e+01
107	1.004660e+02
108	1.015047e+02
109	1.026019e+02
110	1.037331e+02
111	1.048776e+02
112	1.060391e+02
113	1.072262e+02
114	1.083980e+02
115	1.096022e+02
116	1.106528e+02
117	1.117184e+02
118	1.125892e+02
119	1.134073e+02
120	1.139971e+02
