# Step	Measurement
1	1.137480e+02
2	1.142534e+02
3	1.148339e+02
4	1.154348e+02
5	1.159514e+02
6	1.165190e+02
7	1.170858e+02
8	1.175892e+02
9	1.180711e+02
10	1.185423e+02
11	1.188354e+02
12	1.190347e+02
13	1.191464e+02
14	1.192291e+02
15	1.192738e+02
16	1.192892e+02
17	1.192942e+02
18	1.192731e+02
19	1.190885e+02
20	1.188744e+02
21	1.185256e+02
22	1.181804e+02
23	1.178228e+02
24	1.174182e+02
25	1.169823e+02
26	1.164652e+02
27	1.159421e+02
28	1.153516e+02
29	1.147605e+02
30	1.141981e+02
31	1.136052e+02
32	1.130079e+02
33	1.124321e+02
34	1.119790e+02
35	1.115522e+02
36	1.111003e+02
37	1.106957e+02
38	1.103070e+02
39	1.098594e+02
40	1.094226e+02
41	1.090581e+02
42	1.086878e+02
43	1.083093e+02
44	1.079864e+02
45	1.076542e+02
46	1.073463e+02
47	1.071366e+02
48	1.069551e+02
49	1.068028e+02
50	1.067148e+02
51	1.066582e+02
52	1.066331e+02
53	1.066798e+02
54	1.067288e+02
55	1.067627e+02
56	1.067509e+02
57	1.067954e+02
58	1.068754e+02
59	1.069565e+02
60	1.070935e+02
61	1.073074e+02
62	1.076509e+02
63	1.079913e+02
64	1.083344e+02
65	1.086449e+02
66	1.090150e+02
67	1.093251e+02
68	1.095849e+02
69	1.098851e+02
70	1.101396e+02
71	1.103302e+02
72	1.104966e+02
73	1.106662e+02
74	1.107488e+02
75	1.107834e+02
76	1.107502e+02
77	1.107084e+02
78	1.106978e+02
79	1.106385e+02
80	1.105816e+02
81	1.104677e+02
82	1.103129e+02
83	1.101161e+02
84	1.099791e+02
85	1.097051e+02
86	1.095595e+02
87	1.094269e+02
88	1.092204e+02
89	1.090491e+02
90	1.088983e+02
91	1.088142e+02
92	1.087921e+02
93	1.088447e+02
94	1.089953e+02
95	1.092253e+02
96	1.094587e+02
97	1.097109e+02
98	1.099898e+02
99	1.103112e+02
100	1.106179e+02
101	1.109303e+02
102	1.112247e+02
103	1.115289e+02
104	1.117278e+02
105	1.118632e+02
106	1.120225e+02
107	1.121509e+02
108	1.122361e+02
109	1.123299e+02
110	1.124770e+02
111	1.126128e+02
112	1.127606e+02
113	1.129201e+02
114	1.130893e+02
115	1.132397e+02
116	1.133816e+02
117	1.134761e+02
118	1.136093e+02
119	1.136555e+02
120	1.137228e+02
121	1.137555e+02
122	1.137110e+02
123	1.136554e+02
124	1.135910e+02
125	1.134956e+02
126	1.134295e+02
127	1.134150e+02
128	1.133679e+02
129	1.132725e+02
130	1.132549e+02
131	1.132786e+02
132	1.133082e+02
133	1.133962e+02
134	1.133812e+02
135	1.134140e+02
136	1.134557e+02
137	1.133155e+02
138	1.130724e+02
139	1.128592e+02
140	1.125874e+02
141	1.122494e+02
142	1.118724e+02
143	1.114208e+02
144	1.109201e+02
145	1.103119e+02
146	1.096284e+02
147	1.089224e+02
148	1.082402e+02
149	1.075624e+02
150	1.069411e+02
151	1.062685e+02
152	1.055800e+02
153	1.049538e+02
154	1.044362e+02
155	1.039249e+02
156	1.033875e+02
157	1.029158e+02
158	1.025490e+02
159	1.022607e+02
160	1.019807e+02
161	1.017885e+02
162	1.016493e+02
163	1.016073e+02
164	1.016911e+02
165	1.018136e+02
166	1.019562e+02
167	1.020993e+02
