# Step	Measurement
1	1.669010e+00
2	1.669651e+00
3	1.670241e+00
4	1.670670e+00
5	1.670702e+00
6	1.670786e+00
7	1.670818e+00
8	1.670948e+00
9	1.671129e+00
10	1.671050e+00
11	1.670790e+00
12	1.670688e+00
13	1.670514e+00
14	1.670560e+00
15	1.670640e+00
16	1.670726e+00
17	1.670994e+00
18	1.671256e+00
19	1.671177e+00
20	1.671055e+00
21	1.670692e+00
22	1.670196e+00
23	1.669595e+00
24	1.668991e+00
25	1.668362e+00
26	1.667721e+00
27	1.666710e+00
28	1.665572e+00
29	1.664409e+00
30	1.663180e+00
31	1.662058e+00
32	1.661126e+00
33	1.660193e+00
34	1.659204e+00
35	1.658073e+00
36	1.657058e+00
37	1.655881e+00
38	1.654724e+00
39	1.653599e+00
40	1.652777e+00
41	1.651846e+00
42	1.650910e+00
43	1.650047e+00
44	1.649433e+00
45	1.648945e+00
46	1.648463e+00
47	1.647920e+00
48	1.647681e+00
49	1.647405e+00
50	1.647299e+00
51	1.647398e+00
52	1.647444e+00
53	1.647672e+00
54	1.648053e+00
55	1.648557e+00
56	1.649372e+00
57	1.650523e+00
58	1.651897e+00
59	1.653484e+00
60	1.655118e+00
61	1.657018e+00
62	1.658934e+00
63	1.660808e+00
64	1.662724e+00
65	1.664527e+00
66	1.666099e+00
67	1.667861e+00
68	1.669447e+00
69	1.671213e+00
70	1.672878e+00
71	1.674750e+00
72	1.676351e+00
73	1.677440e+00
74	1.678568e+00
75	1.679726e+00
76	1.680741e+00
77	1.681554e+00
78	1.681995e+00
79	1.682338e+00
80	1.682188e+00
81	1.681678e+00
82	1.680694e+00
83	1.679280e+00
84	1.677855e+00
85	1.676162e+00
86	1.674365e+00
87	1.672501e+00
88	1.670259e+00
89	1.667847e+00
90	1.665388e+00
91	1.662869e+00
92	1.660228e+00
93	1.657530e+00
94	1.654459e+00
95	1.651304e+00
96	1.648357e+00
97	1.645623e+00
98	1.643065e+00
99	1.640555e+00
100	1.637797e+00
101	1.635109e+00
102	1.632387e+00
103	1.629781e+00
104	1.627419e+00
105	1.625029e+00
106	1.622896e+00
107	1.621095e+00
108	1.619414e+00
109	1.618145e+00
110	1.617202e+00
111	1.616425e+00
112	1.615789e+00
113	1.615181e+00
114	1.614890e+00
115	1.614806e+00
116	1.615009e+00
117	1.615611e+00
118	1.616589e+00
119	1.618050e+00
120	1.619505e+00
121	1.621299e+00
122	1.623150e+00
123	1.625096e+00
124	1.627313e+00
125	1.629713e+00
126	1.632296e+00
127	1.635127e+00
128	1.638188e+00
129	1.641612e+00
130	1.644989e+00
131	1.648457e+00
132	1.651880e+00
133	1.655173e+00
134	1.658703e+00
135	1.662420e+00
136	1.666086e+00
137	1.669802e+00
138	1.673319e+00
139	1.676612e+00
140	1.679928e+00
141	1.683132e+00
142	1.686078e+00
143	1.688847e+00
144	1.691758e+00
145	1.694117e+00
146	1.696408e+00
147	1.698361e+00
148	1.700285e+00
149	1.701929e+00
150	1.703215e+00
151	1.704518e+00
152	1.705684e+00
153	1.706611e+00
154	1.707349e+00
155	1.707872e+00
156	1.708169e+00
157	1.708157e+00
158	1.708057e+00
159	1.707693e+00
160	1.707454e+00
161	1.707252e+00
162	1.706999e+00
163	1.706411e+00
164	1.705652e+00
165	1.704799e+00
166	1.704045e+00
167	1.703164e+00
168	1.702047e+00
169	1.700722e+00
170	1.699064e+00
171	1.697263e+00
172	1.695480e+00
173	1.693625e+00
174	1.691991e+00
175	1.690282e+00
176	1.688542e+00
177	1.686758e+00
178	1.685240e+00
179	1.683564e+00
180	1.682309e+00
181	1.681049e+00
182	1.679676e+00
183	1.678097e+00
184	1.676426e+00
185	1.674671e+00
186	1.672637e+00
187	1.670878e+00
188	1.669139e+00
189	1.667671e+00
190	1.666578e+00
191	1.665302e+00
192	1.664190e+00
193	1.663074e+00
194	1.661967e+00
195	1.661077e+00
196	1.660187e+00
197	1.659571e+00
198	1.658739e+00
199	1.657795e+00
200	1.656832e+00
201	1.655921e+00
