# Step	Measurement
1	1.091578e+00
2	1.085241e+00
3	1.080620e+00
4	1.078238e+00
5	1.077914e+00
6	1.078590e+00
7	1.081546e+00
8	1.086671e+00
9	1.091830e+00
10	1.097102e+00
11	1.101998e+00
12	1.107508e+00
13	1.110804e+00
14	1.111968e+00
15	1.113021e+00
16	1.111451e+00
17	1.108505e+00
18	1.105080e+00
19	1.100440e+00
20	1.095089e+00
21	1.090085e+00
22	1.086780e+00
23	1.083976e+00
24	1.081992e+00
25	1.081833e+00
26	1.083441e+00
27	1.087631e+00
28	1.092904e+00
29	1.098177e+00
30	1.103272e+00
31	1.109366e+00
32	1.114522e+00
33	1.118258e+00
34	1.121785e+00
35	1.124635e+00
36	1.126125e+00
37	1.126243e+00
38	1.124399e+00
39	1.121473e+00
40	1.116868e+00
41	1.111070e+00
42	1.105984e+00
43	1.100464e+00
44	1.096427e+00
45	1.092966e+00
46	1.090417e+00
47	1.088559e+00
48	1.088780e+00
49	1.090446e+00
50	1.093885e+00
51	1.098265e+00
52	1.103438e+00
53	1.108223e+00
54	1.112473e+00
55	1.115184e+00
56	1.116231e+00
57	1.116953e+00
58	1.117417e+00
59	1.116227e+00
60	1.113948e+00
61	1.110725e+00
62	1.107572e+00
63	1.103624e+00
64	1.098742e+00
65	1.093236e+00
66	1.089095e+00
67	1.086041e+00
68	1.083669e+00
69	1.081390e+00
70	1.079616e+00
71	1.078560e+00
72	1.079964e+00
73	1.082907e+00
74	1.087201e+00
75	1.093065e+00
76	1.100741e+00
77	1.108541e+00
78	1.114931e+00
79	1.120677e+00
80	1.125711e+00
81	1.128192e+00
82	1.129621e+00
83	1.128772e+00
84	1.125863e+00
85	1.120858e+00
86	1.115550e+00
87	1.109860e+00
88	1.102531e+00
89	1.094955e+00
90	1.088519e+00
91	1.083575e+00
92	1.080374e+00
93	1.080237e+00
94	1.082141e+00
95	1.086235e+00
96	1.092694e+00
97	1.100355e+00
98	1.107571e+00
99	1.114766e+00
100	1.121718e+00
101	1.126996e+00
102	1.130846e+00
103	1.131124e+00
104	1.129178e+00
105	1.125562e+00
106	1.120028e+00
107	1.112629e+00
108	1.105108e+00
109	1.097355e+00
110	1.089271e+00
111	1.080810e+00
112	1.073388e+00
113	1.068166e+00
114	1.065936e+00
115	1.066325e+00
116	1.070597e+00
117	1.077383e+00
118	1.085741e+00
119	1.095431e+00
120	1.105705e+00
121	1.113479e+00
122	1.121472e+00
123	1.127125e+00
124	1.130585e+00
125	1.132338e+00
126	1.131919e+00
127	1.128903e+00
128	1.123537e+00
129	1.115652e+00
130	1.107690e+00
131	1.099171e+00
132	1.091308e+00
133	1.082980e+00
134	1.077191e+00
135	1.073679e+00
136	1.071795e+00
137	1.070186e+00
138	1.071981e+00
139	1.077834e+00
140	1.086558e+00
141	1.096522e+00
142	1.107155e+00
143	1.116999e+00
144	1.125981e+00
145	1.135918e+00
146	1.141643e+00
147	1.145003e+00
148	1.145962e+00
149	1.144449e+00
150	1.139746e+00
151	1.132980e+00
152	1.124778e+00
153	1.115672e+00
154	1.105882e+00
155	1.097234e+00
156	1.090109e+00
157	1.086138e+00
158	1.083538e+00
159	1.081620e+00
160	1.081428e+00
161	1.083468e+00
162	1.088416e+00
163	1.094710e+00
164	1.101172e+00
165	1.108762e+00
166	1.116725e+00
167	1.123808e+00
168	1.128580e+00
169	1.131048e+00
170	1.131181e+00
171	1.128979e+00
172	1.126669e+00
173	1.122184e+00
174	1.116551e+00
175	1.110006e+00
176	1.103691e+00
177	1.097603e+00
178	1.090581e+00
179	1.085234e+00
180	1.081702e+00
181	1.079707e+00
182	1.078868e+00
183	1.080640e+00
184	1.084690e+00
185	1.089920e+00
186	1.096332e+00
187	1.103163e+00
188	1.110046e+00
189	1.116298e+00
190	1.122263e+00
191	1.125966e+00
192	1.128600e+00
193	1.128730e+00
194	1.125049e+00
195	1.120748e+00
196	1.114290e+00
197	1.107674e+00
198	1.099497e+00
199	1.091406e+00
200	1.083885e+00
201	1.079135e+00
202	1.076102e+00
203	1.075189e+00
204	1.076143e+00
205	1.077956e+00
206	1.082896e+00
207	1.087696e+00
208	1.094787e+00
209	1.100791e+00
210	1.106690e+00
211	1.111285e+00
212	1.116644e+00
213	1.121509e+00
214	1.124685e+00
215	1.125677e+00
216	1.123472e+00
217	1.118876e+00
218	1.112181e+00
219	1.105067e+00
220	1.097190e+00
221	1.089714e+00
222	1.082298e+00
223	1.077979e+00
224	1.075298e+00
225	1.075461e+00
226	1.077403e+00
227	1.082041e+00
228	1.088260e+00
229	1.096551e+00
230	1.105994e+00
231	1.115173e+00
232	1.124814e+00
233	1.133027e+00
234	1.138781e+00
235	1.142076e+00
236	1.140770e+00
237	1.136014e+00
238	1.130276e+00
239	1.122334e+00
240	1.113069e+00
241	1.104084e+00
242	1.095252e+00
243	1.086330e+00
244	1.076817e+00
245	1.069414e+00
246	1.064439e+00
247	1.062438e+00
248	1.062700e+00
249	1.067310e+00
250	1.073016e+00
251	1.081404e+00
252	1.091819e+00
253	1.101099e+00
254	1.111573e+00
255	1.123142e+00
256	1.132654e+00
257	1.138233e+00
258	1.140907e+00
259	1.140398e+00
260	1.137262e+00
261	1.131626e+00
262	1.124555e+00
263	1.113848e+00
264	1.103196e+00
265	1.091754e+00
266	1.080709e+00
267	1.071564e+00
268	1.065764e+00
269	1.062438e+00
270	1.062129e+00
271	1.064572e+00
272	1.070208e+00
273	1.078675e+00
274	1.090245e+00
275	1.101424e+00
276	1.112366e+00
277	1.123281e+00
278	1.132637e+00
279	1.141120e+00
280	1.146950e+00
281	1.148056e+00
282	1.145303e+00
283	1.138676e+00
284	1.129573e+00
285	1.119488e+00
286	1.109523e+00
287	1.097912e+00
288	1.086431e+00
289	1.075795e+00
290	1.067000e+00
291	1.060533e+00
292	1.056415e+00
293	1.055424e+00
294	1.058455e+00
295	1.063257e+00
296	1.071512e+00
297	1.081963e+00
298	1.092776e+00
299	1.103173e+00
300	1.112936e+00
301	1.120176e+00
302	1.125869e+00
303	1.130486e+00
304	1.131910e+00
305	1.130925e+00
306	1.128191e+00
307	1.121660e+00
308	1.113522e+00
309	1.103821e+00
310	1.092674e+00
311	1.081840e+00
312	1.072502e+00
313	1.065582e+00
314	1.062325e+00
315	1.063260e+00
316	1.066892e+00
317	1.073694e+00
318	1.084363e+00
319	1.096491e+00
320	1.108795e+00
321	1.120438e+00
322	1.130348e+00
323	1.138176e+00
324	1.143584e+00
325	1.147231e+00
326	1.148934e+00
327	1.147702e+00
328	1.142452e+00
329	1.135315e+00
330	1.126956e+00
331	1.117514e+00
332	1.107437e+00
333	1.096148e+00
334	1.085436e+00
335	1.075245e+00
336	1.068927e+00
337	1.064725e+00
338	1.063238e+00
339	1.065416e+00
340	1.071379e+00
341	1.078654e+00
342	1.087015e+00
343	1.096947e+00
344	1.106500e+00
345	1.115948e+00
346	1.125740e+00
347	1.133840e+00
348	1.138501e+00
349	1.139889e+00
350	1.138642e+00
351	1.135335e+00
352	1.128753e+00
353	1.120951e+00
354	1.110194e+00
355	1.098839e+00
356	1.087672e+00
357	1.079146e+00
358	1.072404e+00
359	1.066790e+00
360	1.065281e+00
361	1.066156e+00
362	1.069435e+00
363	1.077040e+00
364	1.086779e+00
365	1.096092e+00
366	1.105309e+00
367	1.113200e+00
368	1.120271e+00
369	1.125432e+00
370	1.127820e+00
371	1.128898e+00
372	1.126950e+00
373	1.123631e+00
374	1.119549e+00
375	1.112673e+00
376	1.105454e+00
377	1.099543e+00
