# Step	Measurement
1	1.156959e+02
2	1.167711e+02
3	1.178463e+02
4	1.189521e+02
5	1.200021e+02
6	1.209762e+02
7	1.218940e+02
8	1.227917e+02
9	1.236311e+02
10	1.243672e+02
11	1.250622e+02
12	1.256447e+02
13	1.261772e+02
14	1.266895e+02
15	1.271456e+02
16	1.274810e+02
17	1.277707e+02
18	1.279939e+02
19	1.281249e+02
20	1.282336e+02
21	1.281996e+02
22	1.280338e+02
23	1.278065e+02
24	1.275915e+02
25	1.272985e+02
26	1.269449e+02
27	1.265626e+02
28	1.260935e+02
29	1.254844e+02
30	1.247185e+02
31	1.238632e+02
32	1.229512e+02
33	1.221277e+02
34	1.212778e+02
35	1.204581e+02
36	1.195993e+02
37	1.186727e+02
38	1.178641e+02
39	1.170331e+02
40	1.163466e+02
41	1.157096e+02
42	1.150866e+02
43	1.145280e+02
44	1.139032e+02
45	1.133511e+02
46	1.128341e+02
47	1.123300e+02
48	1.118797e+02
49	1.114347e+02
50	1.110193e+02
51	1.106372e+02
52	1.102512e+02
53	1.098224e+02
54	1.093451e+02
55	1.089783e+02
56	1.086424e+02
57	1.084302e+02
58	1.082747e+02
59	1.081538e+02
60	1.081661e+02
61	1.082865e+02
62	1.084269e+02
63	1.086172e+02
64	1.088132e+02
65	1.091074e+02
66	1.094989e+02
67	1.099904e+02
68	1.104427e+02
69	1.109578e+02
70	1.114287e+02
71	1.118486e+02
72	1.123688e+02
73	1.128574e+02
74	1.133264e+02
75	1.137933e+02
76	1.141765e+02
77	1.145632e+02
78	1.149726e+02
79	1.152972e+02
80	1.155943e+02
81	1.158465e+02
82	1.161252e+02
83	1.164211e+02
84	1.166657e+02
85	1.169149e+02
86	1.171205e+02
87	1.174308e+02
88	1.177294e+02
89	1.180258e+02
90	1.183327e+02
91	1.185556e+02
92	1.187519e+02
93	1.188810e+02
94	1.188845e+02
95	1.188158e+02
96	1.186809e+02
97	1.184597e+02
98	1.181575e+02
99	1.178328e+02
100	1.174555e+02
101	1.170697e+02
102	1.167714e+02
103	1.164281e+02
104	1.159830e+02
105	1.155980e+02
106	1.152474e+02
107	1.149146e+02
108	1.146780e+02
109	1.144104e+02
110	1.141693e+02
111	1.138607e+02
112	1.135665e+02
113	1.133221e+02
114	1.131539e+02
115	1.130055e+02
116	1.128608e+02
117	1.127419e+02
118	1.125467e+02
119	1.123917e+02
120	1.122809e+02
121	1.120392e+02
