# Step	Measurement
1	9.745065e-01
2	9.734704e-01
3	9.724197e-01
4	9.717373e-01
5	9.719497e-01
6	9.729031e-01
7	9.739889e-01
8	9.750812e-01
9	9.761188e-01
10	9.772050e-01
11	9.782631e-01
12	9.809688e-01
13	9.829450e-01
14	9.847870e-01
15	9.871564e-01
16	9.890299e-01
17	9.892768e-01
18	9.873077e-01
19	9.829929e-01
20	9.782456e-01
21	9.735232e-01
22	9.696963e-01
23	9.674770e-01
24	9.643916e-01
25	9.629695e-01
26	9.637207e-01
27	9.655364e-01
28	9.710627e-01
29	9.788924e-01
30	9.856423e-01
31	9.902108e-01
32	9.922470e-01
33	9.922451e-01
34	9.896793e-01
35	9.864864e-01
36	9.820206e-01
37	9.788200e-01
38	9.767177e-01
39	9.737929e-01
40	9.707589e-01
41	9.686238e-01
42	9.698133e-01
43	9.701047e-01
44	9.723900e-01
45	9.753238e-01
46	9.775398e-01
47	9.784484e-01
48	9.791589e-01
49	9.808750e-01
50	9.812906e-01
51	9.802484e-01
52	9.786483e-01
53	9.773689e-01
54	9.747617e-01
55	9.706785e-01
56	9.683827e-01
57	9.683609e-01
58	9.701282e-01
59	9.746763e-01
60	9.799448e-01
61	9.840433e-01
62	9.865958e-01
63	9.874644e-01
64	9.856913e-01
65	9.830048e-01
66	9.795174e-01
67	9.750172e-01
68	9.715965e-01
69	9.677238e-01
70	9.673212e-01
71	9.664368e-01
72	9.661776e-01
73	9.667929e-01
74	9.693138e-01
75	9.724893e-01
76	9.756070e-01
77	9.790775e-01
78	9.820148e-01
79	9.831221e-01
80	9.821656e-01
81	9.796940e-01
82	9.773711e-01
83	9.734771e-01
84	9.705194e-01
85	9.683032e-01
86	9.665149e-01
87	9.650626e-01
88	9.646766e-01
89	9.651215e-01
90	9.678831e-01
91	9.718365e-01
92	9.763610e-01
93	9.807251e-01
94	9.847066e-01
95	9.876268e-01
96	9.878469e-01
97	9.858252e-01
98	9.835817e-01
99	9.803305e-01
100	9.759630e-01
101	9.715314e-01
102	9.673208e-01
103	9.653689e-01
104	9.663496e-01
105	9.686508e-01
106	9.701688e-01
107	9.749996e-01
