# Step	Measurement
1	1.633424e+00
2	1.632472e+00
3	1.631406e+00
4	1.630517e+00
5	1.629668e+00
6	1.629272e+00
7	1.628562e+00
8	1.627891e+00
9	1.627449e+00
10	1.627379e+00
11	1.627415e+00
12	1.627410e+00
13	1.627359e+00
14	1.627356e+00
15	1.626926e+00
16	1.626502e+00
17	1.626189e+00
18	1.625994e+00
19	1.626110e+00
20	1.626274e+00
21	1.626682e+00
22	1.627203e+00
23	1.627686e+00
24	1.628125e+00
25	1.628780e+00
26	1.629822e+00
27	1.631074e+00
28	1.632819e+00
29	1.634456e+00
30	1.636194e+00
31	1.637820e+00
32	1.639152e+00
33	1.640596e+00
34	1.641609e+00
35	1.642724e+00
36	1.643441e+00
37	1.644046e+00
38	1.644460e+00
39	1.644454e+00
40	1.643978e+00
41	1.643474e+00
42	1.642679e+00
43	1.641828e+00
44	1.641170e+00
45	1.640339e+00
46	1.639650e+00
47	1.639096e+00
48	1.638550e+00
49	1.637814e+00
50	1.637192e+00
51	1.636535e+00
52	1.635737e+00
53	1.634902e+00
54	1.633849e+00
55	1.632793e+00
56	1.631873e+00
57	1.631232e+00
58	1.630659e+00
59	1.630195e+00
60	1.630070e+00
61	1.630101e+00
62	1.630360e+00
63	1.630928e+00
64	1.631652e+00
65	1.632535e+00
66	1.633432e+00
67	1.634226e+00
68	1.635061e+00
69	1.635972e+00
70	1.636582e+00
71	1.636866e+00
72	1.636834e+00
73	1.636780e+00
74	1.636903e+00
75	1.637147e+00
76	1.637567e+00
77	1.638116e+00
78	1.638808e+00
79	1.639811e+00
80	1.641159e+00
81	1.642535e+00
82	1.643666e+00
83	1.644846e+00
84	1.645826e+00
85	1.646502e+00
86	1.646906e+00
87	1.647119e+00
88	1.647274e+00
89	1.647203e+00
90	1.646946e+00
91	1.646620e+00
92	1.646145e+00
93	1.645692e+00
94	1.645501e+00
95	1.645128e+00
96	1.645004e+00
97	1.644676e+00
98	1.644591e+00
99	1.644685e+00
100	1.644663e+00
101	1.644251e+00
102	1.643469e+00
103	1.642822e+00
104	1.642213e+00
105	1.641466e+00
106	1.640616e+00
107	1.639531e+00
108	1.638353e+00
109	1.636783e+00
110	1.635089e+00
111	1.633191e+00
112	1.631057e+00
113	1.629057e+00
114	1.626788e+00
115	1.624843e+00
116	1.622978e+00
117	1.621203e+00
118	1.619625e+00
119	1.618042e+00
120	1.616847e+00
121	1.615598e+00
122	1.614050e+00
123	1.612773e+00
124	1.611706e+00
125	1.610636e+00
126	1.609955e+00
127	1.609460e+00
128	1.609080e+00
