# Step	Measurement
1	1.094275e+02
2	1.095005e+02
3	1.095446e+02
4	1.095810e+02
5	1.095931e+02
6	1.096141e+02
7	1.096336e+02
8	1.096626e+02
9	1.096670e+02
10	1.097516e+02
11	1.098002e+02
12	1.098214e+02
13	1.098306e+02
14	1.098100e+02
15	1.098348e+02
16	1.097585e+02
17	1.096636e+02
18	1.095376e+02
19	1.094621e+02
20	1.093374e+02
21	1.091842e+02
22	1.089813e+02
23	1.087290e+02
24	1.085416e+02
25	1.084484e+02
26	1.083700e+02
27	1.083049e+02
28	1.082750e+02
29	1.082295e+02
30	1.082096e+02
31	1.082065e+02
32	1.082077e+02
33	1.081241e+02
34	1.080762e+02
35	1.080130e+02
36	1.079136e+02
37	1.077807e+02
38	1.076394e+02
39	1.074880e+02
40	1.073415e+02
41	1.072889e+02
42	1.073051e+02
43	1.073418e+02
44	1.074146e+02
45	1.075346e+02
46	1.077114e+02
47	1.078915e+02
48	1.080584e+02
49	1.081981e+02
50	1.082905e+02
51	1.084381e+02
52	1.086217e+02
53	1.088087e+02
54	1.090324e+02
55	1.092711e+02
56	1.095574e+02
57	1.099028e+02
58	1.102405e+02
59	1.106023e+02
60	1.110048e+02
61	1.112793e+02
62	1.115968e+02
63	1.118143e+02
64	1.120806e+02
65	1.122650e+02
66	1.123990e+02
67	1.125409e+02
68	1.126337e+02
69	1.126692e+02
70	1.126485e+02
71	1.126626e+02
72	1.127482e+02
73	1.127220e+02
74	1.126206e+02
75	1.124252e+02
76	1.121363e+02
77	1.118092e+02
78	1.114197e+02
79	1.109695e+02
80	1.104140e+02
81	1.097742e+02
82	1.091437e+02
83	1.085375e+02
84	1.079685e+02
85	1.075174e+02
86	1.070976e+02
87	1.067948e+02
88	1.064765e+02
89	1.062041e+02
90	1.060380e+02
91	1.058054e+02
92	1.055319e+02
93	1.053161e+02
94	1.050613e+02
95	1.048755e+02
96	1.047524e+02
97	1.046390e+02
98	1.045290e+02
99	1.044084e+02
100	1.043051e+02
101	1.042417e+02
102	1.041660e+02
103	1.042225e+02
104	1.043039e+02
105	1.044432e+02
106	1.046409e+02
107	1.048188e+02
108	1.049644e+02
109	1.051958e+02
110	1.054634e+02
111	1.057554e+02
112	1.060454e+02
113	1.062690e+02
114	1.064991e+02
115	1.066997e+02
116	1.069058e+02
117	1.071083e+02
118	1.072818e+02
119	1.073675e+02
120	1.074033e+02
121	1.074479e+02
122	1.073618e+02
123	1.072688e+02
124	1.071892e+02
125	1.070839e+02
126	1.070063e+02
127	1.069324e+02
128	1.069665e+02
129	1.070364e+02
130	1.071813e+02
131	1.074038e+02
132	1.076980e+02
133	1.079511e+02
134	1.081913e+02
135	1.085341e+02
136	1.088289e+02
137	1.091260e+02
138	1.094048e+02
139	1.096303e+02
140	1.098468e+02
141	1.101488e+02
142	1.104955e+02
143	1.107575e+02
144	1.110219e+02
145	1.112178e+02
146	1.114653e+02
147	1.117042e+02
148	1.119140e+02
149	1.121117e+02
150	1.122829e+02
151	1.124272e+02
152	1.126447e+02
153	1.128306e+02
154	1.131323e+02
155	1.134334e+02
156	1.137419e+02
157	1.140455e+02
158	1.143553e+02
159	1.146780e+02
160	1.149537e+02
161	1.151679e+02
162	1.152874e+02
163	1.152975e+02
164	1.152104e+02
165	1.151080e+02
166	1.149690e+02
167	1.147223e+02
168	1.144654e+02
169	1.141561e+02
170	1.138616e+02
171	1.135840e+02
172	1.133894e+02
173	1.131239e+02
174	1.129097e+02
175	1.126801e+02
176	1.124511e+02
177	1.122753e+02
178	1.121591e+02
179	1.120417e+02
180	1.118710e+02
181	1.116200e+02
182	1.113982e+02
183	1.111275e+02
184	1.107883e+02
185	1.103886e+02
186	1.100524e+02
187	1.096339e+02
188	1.091805e+02
189	1.087517e+02
190	1.083903e+02
191	1.081355e+02
192	1.079678e+02
193	1.078802e+02
194	1.078984e+02
195	1.079649e+02
196	1.081067e+02
197	1.082806e+02
198	1.085338e+02
199	1.087468e+02
200	1.089577e+02
201	1.092380e+02
202	1.095338e+02
203	1.097283e+02
204	1.098941e+02
205	1.100082e+02
206	1.100435e+02
207	1.101386e+02
208	1.101935e+02
209	1.101968e+02
210	1.101401e+02
211	1.100669e+02
212	1.100547e+02
213	1.100457e+02
214	1.100346e+02
215	1.100336e+02
216	1.101303e+02
217	1.102566e+02
218	1.103006e+02
219	1.103018e+02
220	1.102605e+02
221	1.103332e+02
222	1.103746e+02
223	1.103943e+02
224	1.104118e+02
225	1.104156e+02
226	1.103574e+02
227	1.102650e+02
228	1.101452e+02
229	1.100109e+02
230	1.098935e+02
231	1.098619e+02
232	1.097954e+02
233	1.096790e+02
234	1.095811e+02
235	1.095536e+02
236	1.095393e+02
237	1.095400e+02
238	1.095315e+02
239	1.095632e+02
240	1.095684e+02
241	1.094966e+02
242	1.094703e+02
243	1.094288e+02
244	1.093230e+02
245	1.091793e+02
246	1.089488e+02
247	1.087233e+02
248	1.084264e+02
249	1.080704e+02
250	1.076658e+02
251	1.072177e+02
252	1.067143e+02
253	1.062378e+02
254	1.058410e+02
255	1.054665e+02
256	1.051241e+02
257	1.048752e+02
258	1.047263e+02
259	1.046907e+02
260	1.046907e+02
261	1.047058e+02
262	1.047905e+02
263	1.049087e+02
264	1.050478e+02
265	1.051923e+02
266	1.053307e+02
267	1.053909e+02
268	1.054244e+02
269	1.053957e+02
270	1.053051e+02
271	1.051864e+02
272	1.050244e+02
273	1.049806e+02
274	1.049292e+02
275	1.048943e+02
276	1.048761e+02
277	1.048705e+02
278	1.049335e+02
279	1.050181e+02
280	1.051736e+02
281	1.053106e+02
282	1.054421e+02
283	1.056988e+02
284	1.059841e+02
285	1.062691e+02
286	1.066164e+02
287	1.069765e+02
288	1.073905e+02
289	1.077934e+02
290	1.082199e+02
291	1.086000e+02
292	1.089912e+02
293	1.093932e+02
294	1.097141e+02
295	1.099921e+02
296	1.102633e+02
297	1.105356e+02
298	1.107076e+02
299	1.109281e+02
300	1.111411e+02
301	1.113818e+02
302	1.116169e+02
303	1.117849e+02
304	1.119603e+02
305	1.121317e+02
306	1.122579e+02
307	1.123323e+02
308	1.123123e+02
309	1.122851e+02
310	1.122214e+02
311	1.120664e+02
312	1.118256e+02
313	1.115309e+02
314	1.112091e+02
315	1.108088e+02
316	1.103490e+02
317	1.099171e+02
318	1.094553e+02
319	1.090571e+02
320	1.087050e+02
321	1.084179e+02
322	1.081419e+02
323	1.079442e+02
324	1.078045e+02
325	1.077182e+02
326	1.076555e+02
327	1.075756e+02
328	1.075569e+02
329	1.075774e+02
330	1.075305e+02
331	1.075096e+02
332	1.075651e+02
333	1.076947e+02
334	1.078124e+02
335	1.079543e+02
336	1.081261e+02
337	1.084145e+02
338	1.087122e+02
339	1.089901e+02
340	1.092615e+02
341	1.095598e+02
342	1.098761e+02
343	1.102148e+02
344	1.105377e+02
345	1.108373e+02
346	1.112188e+02
347	1.116911e+02
348	1.121779e+02
349	1.126837e+02
350	1.131806e+02
351	1.137081e+02
352	1.142207e+02
353	1.146098e+02
354	1.149987e+02
355	1.153718e+02
356	1.157520e+02
357	1.160602e+02
358	1.161777e+02
359	1.161677e+02
360	1.160755e+02
361	1.158746e+02
362	1.156567e+02
363	1.153413e+02
364	1.150793e+02
365	1.147912e+02
366	1.145383e+02
367	1.142272e+02
368	1.138191e+02
369	1.134152e+02
370	1.129812e+02
371	1.124826e+02
372	1.119657e+02
373	1.113843e+02
374	1.106864e+02
375	1.099997e+02
376	1.094087e+02
377	1.087867e+02
378	1.082099e+02
379	1.076085e+02
