# Step	Measurement
1	1.091903e+02
2	1.095369e+02
3	1.098458e+02
4	1.101682e+02
5	1.105213e+02
6	1.107864e+02
7	1.111285e+02
8	1.114012e+02
9	1.116638e+02
10	1.118959e+02
11	1.121396e+02
12	1.123884e+02
13	1.126229e+02
14	1.128673e+02
15	1.130823e+02
16	1.132612e+02
17	1.135170e+02
18	1.137647e+02
19	1.139940e+02
20	1.141643e+02
21	1.143181e+02
22	1.144223e+02
23	1.143884e+02
24	1.143892e+02
25	1.143735e+02
26	1.144413e+02
27	1.144798e+02
28	1.145664e+02
29	1.146506e+02
30	1.147844e+02
31	1.149338e+02
32	1.150635e+02
33	1.151970e+02
34	1.153074e+02
35	1.153436e+02
36	1.153745e+02
37	1.154178e+02
38	1.155082e+02
39	1.155855e+02
40	1.156971e+02
41	1.157383e+02
42	1.156945e+02
43	1.155966e+02
44	1.154204e+02
45	1.152521e+02
46	1.151255e+02
47	1.150319e+02
48	1.149790e+02
49	1.149953e+02
50	1.150503e+02
51	1.151480e+02
52	1.151924e+02
53	1.152164e+02
54	1.152667e+02
55	1.153258e+02
56	1.154210e+02
57	1.154555e+02
58	1.154368e+02
59	1.153607e+02
60	1.152435e+02
61	1.149532e+02
62	1.146670e+02
63	1.144169e+02
64	1.141377e+02
65	1.138926e+02
66	1.135930e+02
67	1.132722e+02
68	1.128918e+02
69	1.125780e+02
70	1.122457e+02
71	1.118420e+02
72	1.113604e+02
73	1.108781e+02
74	1.104326e+02
75	1.100613e+02
76	1.096777e+02
77	1.092616e+02
78	1.088540e+02
79	1.084919e+02
80	1.081434e+02
81	1.078385e+02
82	1.076138e+02
83	1.074246e+02
84	1.073469e+02
85	1.073773e+02
86	1.074235e+02
87	1.075519e+02
88	1.077649e+02
89	1.079349e+02
90	1.080601e+02
91	1.083182e+02
92	1.086991e+02
93	1.090975e+02
94	1.095128e+02
95	1.099872e+02
96	1.104356e+02
97	1.109697e+02
98	1.115071e+02
99	1.120251e+02
100	1.124525e+02
101	1.128923e+02
102	1.132556e+02
103	1.135576e+02
104	1.138113e+02
105	1.140083e+02
106	1.141694e+02
107	1.142610e+02
108	1.143432e+02
109	1.144515e+02
110	1.146003e+02
111	1.146966e+02
112	1.147938e+02
113	1.148112e+02
114	1.148505e+02
115	1.148717e+02
116	1.148622e+02
117	1.148967e+02
118	1.149094e+02
119	1.149039e+02
120	1.148650e+02
121	1.147036e+02
122	1.144480e+02
123	1.142223e+02
124	1.140356e+02
125	1.137791e+02
126	1.135792e+02
127	1.134106e+02
128	1.132172e+02
129	1.129810e+02
130	1.126475e+02
131	1.123696e+02
132	1.120615e+02
133	1.117454e+02
134	1.113793e+02
135	1.109419e+02
136	1.104468e+02
137	1.099966e+02
138	1.096360e+02
139	1.092745e+02
140	1.089229e+02
141	1.085775e+02
142	1.083134e+02
143	1.080681e+02
144	1.077483e+02
145	1.073663e+02
146	1.070049e+02
147	1.066315e+02
148	1.062357e+02
149	1.058865e+02
150	1.055732e+02
151	1.052173e+02
152	1.048678e+02
153	1.046323e+02
154	1.044359e+02
